prefecture,portal_url
北海道,https://www.pref.hokkaido.lg.jp/hf/kth/nanbyou/nanbyou/
青森県,https://www.pref.aomori.lg.jp/soshiki/kenko/ganseikatsu/intractable-disease-2015.html
岩手県,https://www.pref.iwate.jp/kurashikankyou/iryou/kenkou/nanbyo/
宮城県,https://www.pref.miyagi.jp/soshiki/situkan/tokutei-top01.html
秋田県,https://www.pref.akita.lg.jp/pages/archive/8805
山形県,https://www.pref.yamagata.jp/090004/kenfuku/iryo/kansen/nambyoushien/new_nanbyo.html
福島県,https://www.pref.fukushima.lg.jp/sec/21035c/siteinanbyouiryouhijyosei.html
茨城県,https://www.pref.ibaraki.jp/hokenfukushi/yobo/shitpei/yobo/shixtsupei2.html
栃木県,http://www.pref.tochigi.lg.jp/fukushi/iryou/nanbyou/index.html
群馬県,https://www.pref.gunma.jp/site/shinsei/2519.html
埼玉県,http://www.pref.saitama.lg.jp/kenko/iryo/nanbyo/index.html
千葉県,http://www.pref.chiba.lg.jp/shippei/index.html
東京都,https://www.hokeniryo.metro.tokyo.lg.jp/kenkou/nanbyo/portal/index.html
神奈川県,http://www.pref.kanagawa.jp/cnt/f531594/
新潟県,http://www.pref.niigata.lg.jp/kenko/1196266601934.html
富山県,https://www.pref.toyama.jp/kurashi/kenkou/iryou/nanbyou/shien/index.html
石川県,https://www.pref.ishikawa.lg.jp/iryo_fukushi/kenko/shippei/index.html
福井県,https://www.pref.fukui.lg.jp/doc/kenkou/siteinanbyou-kijyun.html
山梨県,https://www.pref.yamanashi.jp/kenko-zsn/boshinanbyou/aratana-nanbyou.html
長野県,http://www.pref.nagano.lg.jp/hoken-shippei/kensei/soshiki/soshiki/kencho/hoken-shippei/index.html#nanbyou
岐阜県,https://www.pref.gifu.lg.jp/page/13261.html
静岡県,https://www.pref.shizuoka.jp/kenkofukushi/shippeikansensho/nanbyo/1003078/index.html
愛知県,https://www.pref.aichi.jp/soshiki/kenkotaisaku/0000078618.html
三重県,http://www.pref.mie.lg.jp/kenkot/hp/86805050673.htm
滋賀県,https://www.pref.shiga.lg.jp/kensei/download/302867/332198.html
京都府,"https://www.nanbyou.or.jp/entry/5241#:~:text=%E4%BA%AC%E9%83%BD%E5%BA%9C-,%E5%81%A5%E5%BA%B7%E7%A6%8F%E7%A5%89%E9%83%A8%E3%80%80%E5%81%A5%E5%BA%B7%E5%AF%BE%E7%AD%96%E8%AA%B2%0A%E7%96%BE%E7%97%85%E5%AF%BE%E7%AD%96%E6%8B%85%E5%BD%93,-%E3%80%92602%2D8570%0A%E4%BA%AC%E9%83%BD"
大阪府,http://www.pref.osaka.lg.jp/chikikansen/nanbyo/index.html
兵庫県,http://web.pref.hyogo.lg.jp/kf16/mokuji.html
奈良県,http://www.pref.nara.jp/4550.htm
和歌山県,https://www.pref.wakayama.lg.jp/prefg/041200/h_sippei/nanbyou.html
鳥取県,http://www.pref.tottori.lg.jp/252178.htm
島根県,http://www.pref.shimane.lg.jp/medical/kenko/kenko/nanbyo/
岡山県,https://www.pref.okayama.jp/page/648861.html
広島県,https://www.pref.hiroshima.lg.jp/soshiki/57/#685
山口県,https://www.pref.yamaguchi.lg.jp/soshiki/47/#ka_headline_4
徳島県,https://www.pref.tokushima.lg.jp/ippannokata/kenko/iryo/5053169/
香川県,https://www.pref.kagawa.lg.jp/kenkosomu/nanbyou_seido.html
愛媛県,https://www.pref.ehime.jp/h25500/kenkou/kenjou/nanbyou01.html
高知県,https://www.pref.kochi.lg.jp/soshiki/130401/2018040300033.html
福岡県,http://www.pref.fukuoka.lg.jp/life/3/20/75/
佐賀県,https://www.pref.saga.lg.jp/list03194.html
長崎県,http://www.pref.nagasaki.jp/bunrui/hukushi-hoken/iryo/nanbyo/index.html
熊本県,https://www.pref.kumamoto.jp/soshiki/44/203310.html
大分県,https://www.pref.oita.jp/soshiki/12220/nanbyou.html
宮崎県,https://www.pref.miyazaki.lg.jp/kenkozoshin/kurashi/hoken/20150702142615.html
鹿児島県,http://www.pref.kagoshima.jp/kenko-fukushi/kenko-iryo/nanbyo/index.html
沖縄県,https://www.pref.okinawa.lg.jp/site/hoken/chiikihoken/shippei/nanbyotop.html
